,index,Text,Emotion,translit
0,0,कैब वाले ने फिर से कैंसिल कर दिया,0,cab vaale ney phir seey cancil curr diyaa
1,1,मुझे बहुत गुस्सा आ रहा है ,0,mujhe bahut gussa aaa rahaa haye
2,2,जल्दी कर यार तू रिचार्ज लौड़े ,0,jaldi curr yaar tuu recharge lauen
3,3,क्या बताओ यार मूड ही ख़राब है ,0,kyaa bataao yaar mood hii raaba haye
4,4,ऐसे कैसे चैनल्स बंद कर दिए आप ,0,aise kaise channels bund curr diye aap
5,5,मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,0,meraa dimag kharaab hoe gayaa haye ise raasta bataate
6,6,आप ऐसे कैसे मेरा पैसा काट सकते हो ,0,aap aise kaise meraa paisa kaat sakate hoe
7,7,जल्दी डलवा मेरे पैसे इडियट ,0,jaldi dalwa merey paise idiot
8,8,तू गधा है क्या ,0,tuu gadhaa haye kyaa
9,9,अबे चूतियों वाली बातें मत करो ,0,abey chootiyon vaali baatein mutt karo
10,10,ये कैब वाला कहा मर गया ,0,yeye cab vaalaa kahaa marr gayaa
11,11,मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,0,meraa balance kaise tatam hoe sakata haye pagal
12,12,मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,0,meraa dimag raaba mutt curr aur turant recharge curr
13,13,गवार तू जल्दी रिचार्ज करेगा ,0,gavaar tuu jaldi recharge karega
14,14,इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,0,inke senior executive seey complane karni pegin
15,15,और कितना इंतज़ार करवाओगे भाई ,0,aur kitna intazaar karvaaoge bhaai
16,16,कैसी घटिया सर्विस है तुम्हारी ,0,cassie ghatiya service haye tumhari
17,17,मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,0,maine 10 baar complane kii haye lekin kuchh hull naheen nickle rahaa
18,18,दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,0,dimag mutt raaba curr aur jaldi recharge curr
19,19,कहाँ से होगा बे तेरा रिचार्ज  ,0,kahaan seey hoga bey teraa recharge
20,20,आप अपनी सर्विस अपने पास रखो ,0,aap apani service apane paas rakho
21,21,यार बार बार इंडिका ही क्यों बुक होता है ,0,yaar baar baar indica hii kyon book hotaa haye
22,22,क्या बेकार की बातें कर रहे हो ,0,kyaa bekaar kii baatein curr rahey hoe
23,23,अबे गांडू हो क्या ?,0,abey gandu hoe kyaa ?
24,24,अबे रिचार्ज कर चुप चाप से ,0,abey recharge curr chup chaap seey
25,25,गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,0,gadhe key bachche bataa yeye problem kaise solve karuun main
26,26,ये कैसा घटिया प्लान है ,0,yeye kaisa ghatiya plan haye
27,27,एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,0,aeka baar mein samajh naheen aayaa bolaa recharge karane tou
28,28,यूज़लेस एप ,0,ules app
29,29,कुछ भी बोल रहे हो यार ,0,kuchh bhee boll rahey hoe yaar
30,30,गवार एप ,0,gavaar app
31,31,मुझे तुमसे बात नहीं करनी है ,0,mujhe tumse baat naheen karni haye
32,32,ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,0,yeye channels kaa rait itna jyada kyon curr dete haye baar baar
33,33,अरे ये चैनल कैसे लॉक हो गया गधे ,0,arey yeye channel kaise lock hoe gayaa gadhe
34,34,अबे भोसड़ीके ,0,abey bhosiyake
35,35,हरामज़ादे ,0,haramade
36,36,घटिया सर्विस ,0,ghatiya service
37,37,चूतिया है क्या ? ,0,chootiya haye kyaa ?
38,38,एकदम बेकार ,0,ekdam bekaar
39,39,कमीने ,0,kameene
40,40,बहुत परेशान करता है ये एप ,0,bahut pareshan kartaa haye yeye app
41,41,वेस्ट ऑफ टाइम,0,west off time
42,42,जो बोला वो क्यों नहीं करते हो ? ,0,joe bolaa voe kyon naheen karate hoe ?
43,43,तुम कभी कुछ समझते ही नहीं हो ,0,tum kabhi kuchh samajhate hii naheen hoe
44,44,फ़क ऑफ़ ,0,kakak aaun
45,45,मै तंग आ चुका हू ,0,mai tanga aaa chuka huu
46,46,तुम एक दम बेवक़ूफ़ हो ,0,tum aeka dumm bewaqoof hoe
47,47,बहनचोद  ,0,bahanchod
48,48,तुम सबसे वाहियाद हो ,0,tum sabse vahiyad hoe
49,49,हरामी ,0,harami
50,50,कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,0,cab driver key against aeka complain karo
51,51,अबे ये एप्प कितना फसता है ,0,abey yeye app kitna fasata haye
52,52,यार कुछ पल्ले ही नहीं पर रहा ,0,yaar kuchh palle hii naheen parr rahaa
53,53,ये क्या बकवास है ,0,yeye kyaa bakwas haye
54,54,साले मादरचोद हो तुम ,0,saale madarchod hoe tum
55,55,ऐसा लग रहा है दीवार से बात कर रहा हु ,0,aisaa lugg rahaa haye deewaar seey baat curr rahaa hoo
56,56,बहुत टाइम लग रहा है बुक हने मे ,0,bahut time lugg rahaa haye book haney meey
57,57,क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,0,kyaa faltu interness haye tumhare app kaa
58,58,तबसे एक काम नहीं  कर पा रहे हो तुम ,0,tabse aeka kaam naheen  curr paa rahey hoe tum
59,59,ओय मुझे गधा समझा है क्या ,0,oy mujhe gadhaa samajha haye kyaa
60,60,तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,0,tumko kuchh samajh mein naheen aataa kyaa bahanchod
61,61,लंड बॉट है ये ,0,lund bott haye yeye
62,62,हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,0,hamesha aise kaise hoe jaataa haye bevakoof app
63,63,तुमसे अच्छा तोह मै खुद ही कर लूं,0,tumse achchha toh mai khud hii curr luun
64,64,कम ऑन मैन ,0,cumm onn maine
65,65,बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,0,bahut hii bakwas website haye tumhara bhaai
66,66,मादरचोद ,0,madarchod
67,67,तुमसे नहीं हो पायेगा ,0,tumse naheen hoe paayega
68,68,दुनिया का सबसे बेकार एप्प है तुम्हारा ,0,duniya kaa sabse bekaar app haye tumhara
69,69,व्हाट ध फ़क ,0,what dha kakak
70,70,तुमसे कोई काम न होता भोसड़ीके ,0,tumse koee kaam naan hotaa bhosiyake
71,71,अपने आप को समझ क्या रखा है तूने कुत्ते ,0,apane aap koo samajh kyaa rakhaa haye toone kutte
72,72,इत्ता परेशान मै पहले कभी नहीं हुआ ,0,ittaa pareshan mai pahale kabhi naheen huaa
73,73,गए गुजरे हो तुम हरामजादे,0,gaye gujare hoe tum haramzade
74,74,क्या बेकार अप्प है ,0,kyaa bekaar app haye
75,75,तुम्हारे वजह से बेज़त्ति हो गयी मेरी,0,tumhare vajah seey bezatti hoe gayee merrie
76,76,मेरा टाइम बर्बाद कर दिया ,0,meraa time barbad curr diyaa
77,77,क्या लूज़र सा एप है ,0,kyaa looran saa app haye
78,78,चुतियापा बंध करो तुम्हारा ,0,chutiapa bandh karo tumhara
79,79,पागल बना रखा है इस एप ने ,0,pagal banaa rakhaa haye iss app ney
80,80,मेरी कैब क्यों नहीं आ रही है ,0,merrie cab kyon naheen aaa rahee haye
81,81,कुछ भी नहीं बको बे ,0,kuchh bhee naheen bako bey
82,82,कहा मर गए ,0,kahaa marr gaye
83,83,क्या वाहियात है यार ,0,kyaa vahiyat haye yaar
84,84,अबे क्या मुझे तू उल्लू समझ रहा है ,0,abey kyaa mujhe tuu ullu samajh rahaa haye
85,85,अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,0,arey yeye channels kyon naheen aaa rahaa chootiye
86,86,लंड जैसा काम किया तुमने ,0,lund jaisa kaam kiyaa tumane
87,87,क्या पागलपंती है ये ,0,kyaa pagalpanti haye yeye
88,88,बहुत ही घटिया एप्प है तुम्हारा ,0,bahut hii ghatiya app haye tumhara
89,89,तुमसे अच्छा गधे से काम करा लूं,0,tumse achchha gadhe seey kaam karaa luun
90,90,मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,0,merey train kaa booking fail hoe rahaa haye baar baar
91,91,क्या बेकार रिस्पांस है इस एप का ,0,kyaa bekaar responses haye iss app kaa
92,92,कभी तो काम के आओ तुम ,0,kabhi tou kaam key aao tum
93,93,अभी तक साले ने डिलीवरी नहीं दी ,0,abhee taka saale ney delivery naheen dee
94,94,यार क्या घटिया सर्विस है ,0,yaar kyaa ghatiya service haye
95,95,तुम किसी काम के नहीं हो बहनचोद ,0,tum kissie kaam key naheen hoe bahanchod
96,96,इतना मेहेंगा क्यों भोस्डिके ,0,itna mehenga kyon bhosdike
97,97,यूज़लेस ,0,ules
98,98,मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,0,merey flight  kaa booking fail hoe rahaa haye baar baar
99,99,अजीब पागल हो तुम बे ,0,ajib pagal hoe tum bey
100,100,कोई काम के नहीं हो तुम ,0,koee kaam key naheen hoe tum
101,101,क्या बतमीज़ी है यार ,0,kyaa batameen haye yaar
102,102,जा नहीं करा रहा मैं रिचार्ज ,0,jaa naheen karaa rahaa main recharge
103,103,कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,0,kitni baar bolaa kii meraa dish tv recharge karna haye
104,104,अपना पैक अपने पास रख ,0,apana paik apane paas rakh
105,105,नहीं डलवाऊँगा पैसे मैं साले चोर ,0,naheen dalavaaunga paise main saale chor
106,106,एक भी सही चीज नहीं बताई तुमने,0,aeka bhee sahee cheej naheen bataai tumane
107,107,कितनी बार एक ही चीज़ बोलनी पड़ेगी ,0,kitni baar aeka hii chee bolani pegin
108,108,एप्प बार बार फस क्यों रहा है ,0,app baar baar phus kyon rahaa haye
109,109,कभी तो समझ जा एक बार मे ,0,kabhi tou samajh jaa aeka baar meey
110,110,तू बस अपना पैक्स डिटेल्स दे नालायक ,0,tuu buss apana paiks details dey nalayak
111,111,क्या बकवास पैक्स हैं ,0,kyaa bakwas paiks hain
112,112,कुछ काम का नहीं है ये एप ,0,kuchh kaam kaa naheen haye yeye app
113,113,तेरे को एक बार में समझ में नहीं आती क्या ,0,tere koo aeka baar mein samajh mein naheen aatee kyaa
114,114,ये कैब कहा रह गया यार ,0,yeye cab kahaa raha gayaa yaar
115,115,बार बार एक ही चीज़ बोले जा रहे हो ,0,baar baar aeka hii chee boley jaa rahey hoe
116,116,कुछ भी करके मेरे पैसे रिवर्ट कराओ ,0,kuchh bhee karke merey paise revert karaao
117,117,होते कौन हो आप ऐसा करने वाले ,0,hotey kaun hoe aap aisaa karane vaale
118,118,दिमाग खराब कर दिया ,0,dimag kharaab curr diyaa
119,119,मुझे तुम से बहुत शिकायत है ,0,mujhe tum seey bahut shikayat haye
120,120,टट्टी एप है ये ,0,tutty app haye yeye
121,121,मुझे कुछ समझ में नहीं आ रहा है ,0,mujhe kuchh samajh mein naheen aaa rahaa haye
122,122,यार क्या बकवास कर रहे हो तुम ,0,yaar kyaa bakwas curr rahey hoe tum
123,123,साले मेरा पैसा कब तक आएगा ,0,saale meraa paisa kaba taka aayega
124,124,एक ही बात कितने बार बोलोगे ,0,aeka hii baat kitane baar bologe
125,125,कब तक एक ही बात बोलोगे ,0,kaba taka aeka hii baat bologe
126,126,चुप चाप मेरे पैसे लौटा ,0,chup chaap merey paise lauta
127,127, तुझे एक बार मैं समझ नहीं आता क्या ,0,tujhe aeka baar main samajh naheen aataa kyaa
128,128,बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,0,bahut confucing interfaces haye tumhara
129,129,मै तुमसे बहुत क्रोधित हु ,0,mai tumse bahut krodhit hoo
